Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
18,Cape Canaveral,DSCOVR,570 kg,HEO,USAF,"Success
",F9 v1.1,No attempt,10 January 2015,09:47
19,Cape Canaveral,ABS-3A,"4,159 kg",GTO,ABS,"Success
",F9 v1.1,Precluded,11 February 2015,23:03
20,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,NASA,Failure,F9 v1.1,Success,2 March 2015,03:50
21,VAFB,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,"Success
",F9 v1.1,Failure,14 April 2015,20:10
22,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,NASA,"Success
",F9 v1.1,Failure,27 April 2015,23:03
23,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,"Success
",F9 FT,Success,28 June 2015,14:21
24,Cape Canaveral,Jason-3,553 kg,LEO,NASA,Success,F9 v1.1,Success,22 December 2015,01:29
25,Cape Canaveral,SES-9,"5,271 kg",GTO,SES,"Success
",F9 FT,Success,17 January 2016,18:42
26,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,NASA,"Success
",F9 FT,Failure,4 March 2016,23:35
27,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,8 April 2016,20:43
28,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,Thaicom,"Success
",F9 FT,Success,6 May 2016,05:21
29,VAFB,ABS-2A,"3,600 kg",GTO,ABS,"Success
",F9 FT,Success,27 May 2016,21:39
30,KSC,SpaceX CRS-9,"2,257 kg",LEO,NASA,"Success
",F9 FT,Success,15 June 2016,14:29
31,KSC,JCSAT-16,"4,600 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT,No attempt,18 July 2016,04:45
32,KSC,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",F9 FT,Success,14 August 2016,05:26
33,KSC,SpaceX CRS-10,"2,490 kg",LEO,NASA,Success,F9 FT,Success,14 January 2017,17:54
34,KSC,EchoStar 23,"5,600 kg",GTO,EchoStar,"Success
",F9 FT,No attempt,19 February 2017,14:39
35,KSC,SES-10,"5,300 kg",GTO,SES,"Success
",F9 FT♺,Success,16 March 2017,06:00
36,KSC,NROL-76,C,LEO,NRO,"Success
",F9 FT,Success,30 March 2017,22:27
37,VAFB,Inmarsat-5 F4,"6,070 kg",GTO,Inmarsat,"Success
",F9 FT,Success,1 May 2017,11:15
38,KSC,SpaceX CRS-11,"2,708 kg",LEO,NASA,"Success
",F9 FT,No attempt,15 May 2017,23:21
39,KSC,BulgariaSat-1,"3,669 kg",GTO,Bulsatcom,"Success
",F9 FTB1029.2,Success,3 June 2017,21:07
40,VAFB,Iridium NEXT,"9,600 kg",LEO,Iridium Communications,"Success
",F9 FT,Success,23 June 2017,19:10
41,KSC,Intelsat 35e,"6,761 kg",GTO,Intelsat,"Success
",F9 FT,Success,25 June 2017,20:25
42,VAFB,SpaceX CRS-12,"3,310 kg",LEO,NASA,"Success
",F9 B4,Success,5 July 2017,23:38
43,KSC,Formosat-5,475 kg,SSO,NSPO,"Success
",F9 FT,Success,14 August 2017,16:31
44,KSC,Boeing X-37B,"4,990 kg",LEO,USAF,"Success
",F9 B4,Success,24 August 2017,18:51
45,Cape Canaveral,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",F9 B4,Success,7 September 2017,14:00
46,VAFB,SES-11,"5,200 kg",GTO,SES S.A.,"Success
",F9 FTB1031.2,Controlled,9 October 2017,12:37
47,CCAFS,Koreasat 5A,"3,500 kg",GTO,KT Corporation,Success,F9 B4,Success,11 October 2017,22:53:00
48,CCAFS,SpaceX CRS-13,"2,205 kg",LEO,NASA,Success,F9 FTB1035.2,Controlled,30 October 2017,19:34
49,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,F9 FTB1036.2,No attempt,15 December 2017,15:36
50,CCAFS,Zuma,C,LEO,Northrop Grumman,Success,F9 B4,No attempt,23 December 2017,01:27
51,VAFB,GovSat-1,"4,230 kg",GTO,SES,Success,F9 FTB1032.2,No attempt,8 January 2018,01:00
52,CCAFS,Paz,"2,150 kg",SSO,Hisdesat,Success,F9 FTB1038.2,No attempt,31 January 2018,21:25
53,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,Hispasat,Success,F9 B4,Success,22 February 2018,14:17
54,KSC,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,F9 B4B1041.2,Success,6 March 2018,05:33
55,VAFB,SpaceX CRS-14,"2,647 kg",LEO,NASA,Success,F9 B4B1039.2,No attempt,30 March 2018,14:14
56,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,NASA,Success,F9 B4,No attempt,2 April 2018,20:30
57,CCAFS,Bangabandhu-1,"3,600 kg",GTO,Thales-Alenia,Success,F9 B5B1046.1,No attempt,18 April 2018,22:51
58,CCAFS,Iridium NEXT,"6,460 kg",Polar,Iridium Communications,Success,F9 B4B1043.2,Success,11 May 2018,20:14
59,VAFB,SES-12,"5,384 kg",GTO,SES,Success,F9 B4B1040.2,Success,22 May 2018,19:47
60,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,NASA,Success,F9 B4B1045.2,Success,4 June 2018,04:45
61,CCAFS,Telstar 19V,"7,075 kg",GTO,Telesat,Success,F9 B5,Success,29 June 2018,09:42
62,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,F9 B5B1048,Success,22 July 2018,05:50
63,KSC,Merah Putih,"5,800 kg",GTO,Telkom Indonesia,Success,F9 B5B1046.2,Success,25 July 2018,11:39
64,VAFB,Telstar 18V,"7,060 kg",GTO,Telesat,Success,F9 B5,Success,7 August 2018,05:18
65,CCAFS,SAOCOM 1A,"3,000 kg",SSO,CONAE,Success,F9 B5B1048.2,Failure,10 September 2018,04:45
66,CCAFS,Es'hail 2,"5,300 kg",GTO,Es'hailSat,"Success
",F9 B5B1047.2,No attempt,8 October 2018,02:22
67,VAFB,SSO-A,"~4,000 kg",SSO,Spaceflight Industries,Success,F9 B5B1046.3,Success,15 November 2018,20:46
68,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,NASA,"Success
",F9 B5,Success,3 December 2018,18:34:05
69,KSC,GPS III,"4,400 kg",MEO,USAF,"Success
",F9 B5,Success,5 December 2018,18:16
70,CCAFS,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",F9 B5B1049.2,Success,23 December 2018,13:51
71,CCAFS,Nusantara Satu,"4,850 kg",GTO,PSN,"Success
",F9 B5B1048.3,Success,11 January 2019,15:31
72,VAFB,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,"Success
",F9 B5[268],Success,22 February 2019,01:45
73,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,NASA,"Success
",F9 B5,Success,2 March 2019,07:49
74,CCAFS,Starlink,"13,620 kg",LEO,SpaceX,"Success
",F9 B5B1049.3,No attempt,4 May 2019,06:48
75,CCAFS,RADARSAT Constellation,"4,200 kg",SSO,Canadian Space Agency,"Success
",F9 B5B1051.2,Success,24 May 2019,02:30
76,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,NASA,"Success
",F9 B5B1056.2,Success,12 June 2019,14:17
77,CCAFS,AMOS-17,"6,500 kg",GTO,Spacecom,"Success
",F9 B5B1047.3,Success,25 July 2019,22:01
78,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,6 August 2019,23:23
79,KSC,SpaceX CRS-19,"2,617 kg",LEO,NASA,"Success
",F9 B5,"No attempt
",11 November 2019,14:56
80,CCAFS,JCSat-18,"6,956 kg",GTO,Sky Perfect JSAT,"Success
",F9 B5B1056.3,Success,5 December 2019,17:29
81,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Failure,17 December 2019,00:10
82,CCAFS,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,NASA,"Success
",F9 B5,Success,7 January 2020,02:19:21
83,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Failure,19 January 2020,15:30
84,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,29 January 2020,14:07
85,KSC,SpaceX CRS-20,"1,977 kg",LEO,NASA,"Success
",F9 B5,Success,17 February 2020,15:05
86,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,7 March 2020,04:50
87,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,18 March 2020,12:16
88,CCAFS,Crew Dragon Demo-2,"12,530 kg",LEO,NASA,"Success
",F9 B5,Success,22 April 2020,19:30
89,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,30 May 2020,19:22
90,KSC,Starlink,"15,410 kg",LEO,SpaceX,"Success
",F9 B5,Success,4 June 2020,01:25
91,CCAFS,GPS III,"4,311 kg",MEO,U.S. Space Force,"Success
",F9 B5,Success,13 June 2020,09:21
92,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,Republic of Korea Army,"Success
",F9 B5B1058.2,Success,30 June 2020,20:10:46
93,KSC,Starlink,"14,932 kg",LEO,SpaceX,"Success
",F9 B5,Success,20 July 2020,21:30
94,KSC,Starlink,"~15,440 kg",LEO,SpaceX,"Success
",F9 B5B1049.6,Success,7 August 2020,05:12
95,KSC,SAOCOM 1B,"3,130 kg",SSO,CONAE,"Success
",F9 B5,Success,18 August 2020,14:31
96,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.2,Success,30 August 2020,23:18
97,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1058.3,Success,3 September 2020,12:46:14
98,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1051.6,Success,6 October 2020,11:29:34
99,VAFB,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,18 October 2020,12:25:57
100,CCAFS,GPS III,"4,311 kg",MEO,USSF,"Success
",F9 B5,Success,24 October 2020,15:31:34
101,KSC,Crew-1,"~12,500 kg",LEO,NASA,"Success
",F9 B5,Success,5 November 2020,23:24:23
102,CCSFS,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,"Success
",F9 B5,Success,16 November 2020,00:27
103,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,21 November 2020,17:17:08
104,CCSFS,SpaceX CRS-21,"2,972 kg",LEO,NASA,"Success
",F9 B5 ♺,Success,25 November 2020,02:13
105,KSC,SXM-7,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5 ♺,Success,6 December 2020,16:17:08
106,CCSFS,NROL-108,C,LEO,NRO,"Success
",F9 B5 ♺,,13 December 2020,17:30:00
1,CCAFS,Türksat 5A,"3,500 kg",GTO,Türksat,,F9 B5,,19 December 2020,14:00:00
1,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,,F9 B5B1051.8,,8 January 2021,02:15
1,CCAFS,Transporter-1,"~5,000 kg",SSO,,,F9 B5B1058.5,,20 January 2021,13:02
1,CCAFS,,,,,,,,24 January 2021,15:00
1,CCAFS,,,,,,,,,
2,CCAFS,,,,,,,,,
3,CCAFS,,,,,,,,,
4,CCAFS,,,,,,,,,
5,VAFB,,,,,,,,,
6,CCAFS,,,,,,,,,
7,CCAFS,,,,,,,,,
8,Cape Canaveral,,,,,,,,,
9,Cape Canaveral,,,,,,,,,
10,Cape Canaveral,,,,,,,,,
11,Cape Canaveral,,,,,,,,,
12,Cape Canaveral,,,,,,,,,
13,Cape Canaveral,,,,,,,,,
14,Cape Canaveral,,,,,,,,,
15,Cape Canaveral,,,,,,,,,
16,Cape Canaveral,,,,,,,,,
17,Cape Canaveral,,,,,,,,,
18,Cape Canaveral,,,,,,,,,
19,Cape Canaveral,,,,,,,,,
20,VAFB,,,,,,,,,
21,Cape Canaveral,,,,,,,,,
22,Cape Canaveral,,,,,,,,,
23,Cape Canaveral,,,,,,,,,
24,Cape Canaveral,,,,,,,,,
25,Cape Canaveral,,,,,,,,,
26,Cape Canaveral,,,,,,,,,
27,Cape Canaveral,,,,,,,,,
28,VAFB,,,,,,,,,
29,KSC,,,,,,,,,
30,KSC,,,,,,,,,
31,KSC,,,,,,,,,
32,KSC,,,,,,,,,
33,KSC,,,,,,,,,
34,KSC,,,,,,,,,
35,KSC,,,,,,,,,
36,VAFB,,,,,,,,,
37,KSC,,,,,,,,,
38,KSC,,,,,,,,,
39,VAFB,,,,,,,,,
40,KSC,,,,,,,,,
41,VAFB,,,,,,,,,
42,KSC,,,,,,,,,
43,KSC,,,,,,,,,
44,Cape Canaveral,,,,,,,,,
45,VAFB,,,,,,,,,
46,CCAFS,,,,,,,,,
47,CCAFS,,,,,,,,,
48,VAFB,,,,,,,,,
49,CCAFS,,,,,,,,,
50,VAFB,,,,,,,,,
51,CCAFS,,,,,,,,,
52,CCAFS,,,,,,,,,
53,KSC,,,,,,,,,
54,VAFB,,,,,,,,,
55,CCAFS,,,,,,,,,
56,CCAFS,,,,,,,,,
57,CCAFS,,,,,,,,,
58,VAFB,,,,,,,,,
59,CCAFS,,,,,,,,,
60,CCAFS,,,,,,,,,
61,VAFB,,,,,,,,,
62,KSC,,,,,,,,,
63,VAFB,,,,,,,,,
64,CCAFS,,,,,,,,,
65,CCAFS,,,,,,,,,
66,VAFB,,,,,,,,,
67,CCAFS,,,,,,,,,
68,KSC,,,,,,,,,
69,CCAFS,,,,,,,,,
70,CCAFS,,,,,,,,,
71,VAFB,,,,,,,,,
72,CCAFS,,,,,,,,,
73,CCAFS,,,,,,,,,
74,CCAFS,,,,,,,,,
75,CCAFS,,,,,,,,,
76,CCAFS,,,,,,,,,
77,CCAFS,,,,,,,,,
78,KSC,,,,,,,,,
79,CCAFS,,,,,,,,,
80,CCAFS,,,,,,,,,
81,CCAFS,,,,,,,,,
82,KSC,,,,,,,,,
83,KSC,,,,,,,,,
84,KSC,,,,,,,,,
85,CCAFS,,,,,,,,,
86,CCAFS,,,,,,,,,
87,CCAFS,,,,,,,,,
88,CCAFS,,,,,,,,,
89,KSC,,,,,,,,,
90,CCAFS,,,,,,,,,
91,CCAFS,,,,,,,,,
92,KSC,,,,,,,,,
93,KSC,,,,,,,,,
94,KSC,,,,,,,,,
95,CCAFS,,,,,,,,,
96,CCAFS,,,,,,,,,
97,KSC,,,,,,,,,
98,VAFB,,,,,,,,,
99,CCAFS,,,,,,,,,
100,KSC,,,,,,,,,
101,CCSFS,,,,,,,,,
102,KSC,,,,,,,,,
103,CCSFS,,,,,,,,,
104,KSC,,,,,,,,,
105,CCSFS,,,,,,,,,
106,,,,,,,,,,
